topic,term1,term2,score,relatedness_level
a mandatory retirement age should be used,adults,cell,0.0,low
a mandatory retirement age should be used,adults,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,adults,pension scheme,0.5,medium
a mandatory retirement age should be used,adults,receptor,0.0,low
a mandatory retirement age should be used,adults,younger adults,0.8,high
a mandatory retirement age should be used,age,mandatory retirement age,1.0,high
a mandatory retirement age should be used,age discrimination,mandatory retirement age,0.9,high
a mandatory retirement age should be used,age discrimination,memory issues,0.2,low
a mandatory retirement age should be used,age related,ageing results,0.8,high
a mandatory retirement age should be used,age related,contractions,0.1,low
a mandatory retirement age should be used,age related,mandatory retirement age,0.9,high
a mandatory retirement age should be used,age related,pension scheme,0.6,medium
a mandatory retirement age should be used,ageing,mandatory retirement age,0.7,high
a mandatory retirement age should be used,ageing,younger adults,0.4,medium
a mandatory retirement age should be used,ageing results,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,ageism,mandatory retirement age,0.6,medium
a mandatory retirement age should be used,ageist,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,aging,mandatory retirement age,0.8,high
a mandatory retirement age should be used,aging,telomerase,0.3,low
a mandatory retirement age should be used,cell,mandatory retirement age,0.0,low
a mandatory retirement age should be used,contractions,mandatory retirement age,0.1,low
a mandatory retirement age should be used,cortex,mandatory retirement age,0.0,low
a mandatory retirement age should be used,decline with age,contractions,0.1,low
a mandatory retirement age should be used,decline with age,employment,0.4,medium
a mandatory retirement age should be used,decline with age,mandatory retirement age,0.7,high
a mandatory retirement age should be used,decline with age,stereotypes,0.2,low
a mandatory retirement age should be used,defined benefit,mandatory retirement age,0.2,low
a mandatory retirement age should be used,defined benefit,pension schemes,0.7,high
a mandatory retirement age should be used,defined benefit pension,mandatory retirement age,0.4,medium
a mandatory retirement age should be used,defined benefit plan,mandatory retirement age,0.3,low
a mandatory retirement age should be used,defined benefit plan,successful ageing,0.2,low
a mandatory retirement age should be used,defined benefit plans,mandatory retirement age,0.3,low
a mandatory retirement age should be used,defined benefit plans,young,0.0,low
a mandatory retirement age should be used,defined contribution,mandatory retirement age,0.1,low
a mandatory retirement age should be used,defined contribution,receptor,0.0,low
a mandatory retirement age should be used,defined contribution,telomerase,0.0,low
a mandatory retirement age should be used,defined contribution plan,ageing results,0.0,low
a mandatory retirement age should be used,defined contribution plan,ageist,0.0,low
a mandatory retirement age should be used,defined contribution plan,contractions,0.0,low
a mandatory retirement age should be used,defined contribution plan,mandatory retirement age,0.3,low
a mandatory retirement age should be used,defined contribution plan,motor units,0.0,low
a mandatory retirement age should be used,defined contribution plan,stereotypes,0.0,low
