query_id,query_text
q_000000,absence of belief
q_000001,absentee
q_000002,absentee ballots
q_000003,absolute majority
q_000004,absolute monarchy
q_000005,abstinence only education
q_000006,abuse of psychiatry
q_000007,abuse potential
q_000008,access to information
q_000009,act of god
q_000010,act of settlement
q_000011,action
q_000012,action games
q_000013,activities
q_000014,adam clayton powell
q_000015,adults
q_000016,advanced maternal age
q_000017,adverse health effects
q_000018,advertising and promotion
q_000019,affirmative
q_000020,affirmative action
q_000021,affirmative action policies
q_000022,affirmative action programs
q_000023,afghan
q_000024,afghan war
q_000025,african americans
q_000026,age
q_000027,age discrimination
q_000028,age related
q_000029,ageing
q_000030,ageing results
q_000031,ageism
q_000032,ageist
q_000033,aggression
q_000034,aggressive behavior
q_000035,aging
q_000036,aids
q_000037,alberta
q_000038,alberta government
q_000039,alberta oil sands
q_000040,alternative minimum tax
q_000041,alternative service
q_000042,alternative vote
q_000043,amartya sen
q_000044,amateur boxing
q_000045,amateur boxing association
q_000046,american football
q_000047,american jobs act
q_000048,american labor
q_000049,american tobacco
q_000050,amniocentesis
q_000051,amundsen
q_000052,anabolic
q_000053,anabolic steroid
q_000054,anabolic steroid users
q_000055,anabolic steroids
q_000056,androgen
q_000057,androgenic steroids
q_000058,androgenic:anabolic ratio
q_000059,anglo saxon system
q_000060,antarctic
q_000061,antarctic ice sheet
q_000062,antarctic peninsula
q_000063,antarctic treaty
q_000064,antarctica
q_000065,anthropocentric
q_000066,anthropocentrism
q_000067,anti ballistic missile
q_000068,anti copyright
q_000069,anti corruption
q_000070,anti corruption measures
q_000071,anti doping
q_000072,anti nuclear
q_000073,anti nuclear groups
q_000074,anti slapp motion
q_000075,anti smoking
q_000076,anti smoking movement
q_000077,antiviral drugs
q_000078,api
q_000079,apple pie
q_000080,applicants
q_000081,apprenticeship
q_000082,appropriations committee
q_000083,aquifer
q_000084,argument
q_000085,argument from design
q_000086,argument from nonbelief
q_000087,army
q_000088,arra
q_000089,arrested
q_000090,arrival
q_000091,arriving
q_000092,arrow's impossibility theorem
q_000093,article
q_000094,artificial birth control
q_000095,artificial contraception
q_000096,asset recovery
q_000097,assisted reproductive technology
q_000098,asylum
q_000099,asylum applications
q_000100,asylum claims
q_000101,asylum seekers
q_000102,athabasca oil sands
q_000103,atheism
q_000104,atheist
q_000105,atheists
q_000106,athlete
q_000107,athletes
q_000108,atlantic city
q_000109,atomic
q_000110,atomic bomb
q_000111,atomic energy
q_000112,attainment
q_000113,attend year round
q_000114,attorney jack thompson
q_000115,august
q_000116,austerity
q_000117,austerity measures
q_000118,austerity package
q_000119,australia
q_000120,australian republican movement
q_000121,australian unemployment rate
q_000122,automatic ballot access
q_000123,bailout
q_000124,ballot
q_000125,ballot paper
q_000126,ballot stuffing
q_000127,bandwagon effect
q_000128,bank accounts
q_000129,banned
q_000130,banned in australia
q_000131,bare knuckle
q_000132,bargaining
q_000133,barrier methods
q_000134,bars and restaurants
q_000135,based on race
q_000136,beans and rice
q_000137,belief in god
q_000138,berne convention
q_000139,bet
q_000140,bet or wager
q_000141,betting
q_000142,bi partisan appointment
q_000143,bias
q_000144,biases
q_000145,bill
q_000146,bill of rights
q_000147,billion
q_000148,billion to subsidize
q_000149,biodiversity
q_000150,biological diversity
q_000151,biopsy
q_000152,birth control
q_000153,birth defects
q_000154,bitumen
q_000155,bituminous sands
q_000156,black
q_000157,black economic empowerment
q_000158,blast
q_000159,block
q_000160,blocked
q_000161,board of education
q_000162,boat
q_000163,boat people
q_000164,body
q_000165,bomb
q_000166,bombs
q_000167,border control
q_000168,bout
q_000169,boxer
q_000170,boxers
q_000171,boxing
q_000172,brain injury
q_000173,brandenburg v ohio
q_000174,break
q_000175,break lasts
q_000176,breaks
q_000177,bribe
