query_id,doc_id,relevance,score,topic,term1,term2,relatedness_level
q_000000,d_000046,1.0,1.0,atheism is the only way,absence of belief,atheism,high
q_000001,d_000880,0.7,0.7,democratic governments should require voters to present photo identification at the polling station,absentee,voters,high
q_000002,d_000880,0.8,0.8,democratic governments should require voters to present photo identification at the polling station,absentee ballots,voters,high
q_000003,d_000258,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,absolute majority,elections,high
q_000004,d_000515,1.0,1.0,the monarchy should be abolished,absolute monarchy,monarchy,high
q_000005,d_000066,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,abstinence only education,barrier methods of contraception,high
q_000005,d_000104,0.9,0.9,the catholic church is justified in forbidding the use of barrier methods of contraception,abstinence only education,catholic church,high
q_000007,d_000612,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,abuse potential,performance enhancing drugs,high
q_000008,d_000023,0.8,0.8,the leaking of military documents by anat kamm is justified,access to information,anat kamm,high
q_000008,d_000460,0.9,0.9,the leaking of military documents by anat kamm is justified,access to information,leaking,high
q_000008,d_000504,0.7,0.7,the leaking of military documents by anat kamm is justified,access to information,military documents,high
q_000008,d_000888,0.7,0.7,the leaking of military documents by anat kamm is justified,access to information,war documents leak,high
q_000008,d_000897,0.8,0.8,the leaking of military documents by anat kamm is justified,access to information,wikileaks documents,high
q_000012,d_000875,0.9,0.9,the sale of violent video games to minors should be banned,action games,violent video games,high
q_000015,d_000919,0.8,0.8,a mandatory retirement age should be used,adults,younger adults,high
q_000016,d_000595,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,parents,high
q_000017,d_000127,1.0,1.0,states should not subsidize the growing of tobacco,adverse health effects,cigar smokers,high
q_000017,d_000469,0.7,0.7,states should not subsidize the growing of tobacco,adverse health effects,light cigarettes,high
q_000017,d_000771,0.7,0.7,states should not subsidize the growing of tobacco,adverse health effects,smoking restrictions,high
q_000017,d_000834,1.0,1.0,states should not subsidize the growing of tobacco,adverse health effects,tobacco consumption,high
q_000019,d_000009,0.8,0.8,the use of affirmative action is justified,affirmative,affirmative action,high
q_000020,d_000009,1.0,1.0,the use of affirmative action is justified,affirmative action,affirmative action,high
q_000020,d_000675,0.9,0.9,the use of affirmative action is justified,affirmative action,races,high
q_000021,d_000009,1.0,1.0,the use of affirmative action is justified,affirmative action policies,affirmative action,high
q_000021,d_000381,1.0,1.0,the use of affirmative action is justified,affirmative action policies,hiring,high
q_000022,d_000009,1.0,1.0,the use of affirmative action is justified,affirmative action programs,affirmative action,high
q_000022,d_000678,1.0,1.0,the use of affirmative action is justified,affirmative action programs,racial prejudice,high
q_000025,d_000009,1.0,1.0,the use of affirmative action is justified,african americans,affirmative action,high
q_000026,d_000481,1.0,1.0,a mandatory retirement age should be used,age,mandatory retirement age,high
q_000026,d_000733,0.8,0.8,the school leaving age should be raised to 18,age,school leaving age,high
q_000027,d_000481,0.9,0.9,a mandatory retirement age should be used,age discrimination,mandatory retirement age,high
q_000028,d_000012,0.8,0.8,a mandatory retirement age should be used,age related,ageing results,high
q_000028,d_000481,0.9,0.9,a mandatory retirement age should be used,age related,mandatory retirement age,high
q_000029,d_000481,0.7,0.7,a mandatory retirement age should be used,ageing,mandatory retirement age,high
q_000033,d_000875,1.0,1.0,the sale of violent video games to minors should be banned,aggression,violent video games,high
q_000034,d_000142,1.0,1.0,the sale of violent video games to minors should be banned,aggressive behavior,columbine high school,high
q_000034,d_000875,0.9,0.9,the sale of violent video games to minors should be banned,aggressive behavior,violent video games,high
q_000035,d_000481,0.8,0.8,a mandatory retirement age should be used,aging,mandatory retirement age,high
q_000036,d_000066,0.9,0.9,the catholic church is justified in forbidding the use of barrier methods of contraception,aids,barrier methods of contraception,high
q_000036,d_000222,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,aids,disease,high
q_000036,d_000382,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,aids,hiv and aids,high
q_000037,d_000075,0.8,0.8,the keystone xl pipeline should be built,alberta,bituminous sands,high
q_000037,d_000439,1.0,1.0,the keystone xl pipeline should be built,alberta,keystone xl pipeline,high
q_000038,d_000439,0.8,0.8,the keystone xl pipeline should be built,alberta government,keystone xl pipeline,high
q_000039,d_000439,1.0,1.0,the keystone xl pipeline should be built,alberta oil sands,keystone xl pipeline,high
q_000041,d_000503,0.7,0.7,national service should be reintroduced,alternative service,military conscription,high
q_000041,d_000533,0.8,0.8,national service should be reintroduced,alternative service,national service,high
q_000041,d_000877,0.9,0.9,national service should be reintroduced,alternative service,volunteer,high
q_000042,d_000095,0.9,0.9,open primaries are the most effective method of selecting candidates for elections,alternative vote,candidates,high
q_000042,d_000258,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,alternative vote,elections,high
q_000044,d_000082,1.0,1.0,boxing should be banned,amateur boxing,boxing,high
q_000045,d_000082,1.0,1.0,boxing should be banned,amateur boxing association,boxing,high
q_000047,d_000018,1.0,1.0,the american jobs act should be passed,american jobs act,american jobs act,high
q_000047,d_000249,0.7,0.7,the american jobs act should be passed,american jobs act,economy,high
q_000048,d_000839,0.7,0.7,all collective bargaining rights claimed by trades unions should be abolished,american labor,trades unions,high
q_000049,d_000365,1.0,1.0,states should not subsidize the growing of tobacco,american tobacco,growing of tobacco,high
q_000050,d_000314,0.8,0.8,parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,fetuses,high
q_000050,d_000341,0.8,0.8,parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,genetic screening,high
q_000050,d_000378,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,heritable diseases,high
q_000051,d_000028,0.8,0.8,exploitation of the antarctic continent should be ceased,amundsen,antarctic continent,high
q_000052,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic,performance enhancing drugs,high
q_000053,d_000047,0.8,0.8,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid,athlete,high
q_000053,d_000388,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid,hormones,high
q_000053,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid,performance enhancing drugs,high
q_000053,d_000654,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid,professional sports,high
q_000054,d_000025,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid users,androgenic steroids,high
q_000054,d_000388,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid users,hormones,high
q_000054,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid users,performance enhancing drugs,high
q_000054,d_000654,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroid users,professional sports,high
q_000055,d_000047,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,athlete,high
q_000055,d_000510,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,mitchell report,high
q_000055,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,performance enhancing drugs,high
q_000055,d_000639,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,prescription,high
q_000055,d_000654,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,professional sports,high
q_000055,d_000679,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,anabolic steroids,random testing,high
q_000056,d_000612,0.8,0.8,the use of performance enhancing drugs in professional sports should be permitted,androgen,performance enhancing drugs,high
q_000056,d_000654,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,androgen,professional sports,high
q_000057,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,androgenic steroids,performance enhancing drugs,high
q_000057,d_000654,0.9,0.9,the use of performance enhancing drugs in professional sports should be permitted,androgenic steroids,professional sports,high
q_000058,d_000612,0.8,0.8,the use of performance enhancing drugs in professional sports should be permitted,androgenic:anabolic ratio,performance enhancing drugs,high
q_000060,d_000022,0.7,0.7,exploitation of the antarctic continent should be ceased,antarctic,amundsen,high
q_000060,d_000028,1.0,1.0,exploitation of the antarctic continent should be ceased,antarctic,antarctic continent,high
q_000061,d_000028,1.0,1.0,exploitation of the antarctic continent should be ceased,antarctic ice sheet,antarctic continent,high
q_000062,d_000028,1.0,1.0,exploitation of the antarctic continent should be ceased,antarctic peninsula,antarctic continent,high
q_000063,d_000028,0.9,0.9,exploitation of the antarctic continent should be ceased,antarctic treaty,antarctic continent,high
q_000063,d_000329,0.7,0.7,exploitation of the antarctic continent should be ceased,antarctic treaty,future generations,high
q_000063,d_000419,0.9,0.9,exploitation of the antarctic continent should be ceased,antarctic treaty,international law,high
q_000064,d_000028,1.0,1.0,exploitation of the antarctic continent should be ceased,antarctica,antarctic continent,high
q_000064,d_000719,0.7,0.7,exploitation of the antarctic continent should be ceased,antarctica,ross,high
q_000067,d_000560,0.9,0.9,all nations have a right to nuclear weapons,anti ballistic missile,nuclear weapons,high
q_000068,d_000413,1.0,1.0,intellectual property rights should be abolished,anti copyright,intellectual property rights,high
q_000069,d_000086,0.9,0.9,bribery is sometimes acceptable,anti corruption,bribery,high
q_000069,d_000840,0.7,0.7,bribery is sometimes acceptable,anti corruption,transparency,high
q_000070,d_000086,0.9,0.9,bribery is sometimes acceptable,anti corruption measures,bribery,high
q_000071,d_000024,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,anti doping,androgen,high
q_000071,d_000387,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,anti doping,hormone,high
q_000071,d_000388,0.7,0.7,the use of performance enhancing drugs in professional sports should be permitted,anti doping,hormones,high
q_000071,d_000612,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anti doping,performance enhancing drugs,high
q_000071,d_000654,0.8,0.8,the use of performance enhancing drugs in professional sports should be permitted,anti doping,professional sports,high
q_000071,d_000816,1.0,1.0,the use of performance enhancing drugs in professional sports should be permitted,anti doping,systematic doping,high
q_000072,d_000550,1.0,1.0,all nations have a right to nuclear weapons,anti nuclear,nuclear bomb,high
q_000072,d_000560,1.0,1.0,all nations have a right to nuclear weapons,anti nuclear,nuclear weapons,high
q_000073,d_000215,0.9,0.9,all nations have a right to nuclear weapons,anti nuclear groups,developing nuclear weapons,high
q_000073,d_000560,1.0,1.0,all nations have a right to nuclear weapons,anti nuclear groups,nuclear weapons,high
q_000075,d_000365,0.7,0.7,states should not subsidize the growing of tobacco,anti smoking,growing of tobacco,high
q_000075,d_000683,0.7,0.7,states should not subsidize the growing of tobacco,anti smoking,rates of smoking,high
q_000075,d_000834,0.9,0.9,states should not subsidize the growing of tobacco,anti smoking,tobacco consumption,high
q_000076,d_000365,0.8,0.8,states should not subsidize the growing of tobacco,anti smoking movement,growing of tobacco,high
q_000078,d_000439,0.7,0.7,the keystone xl pipeline should be built,api,keystone xl pipeline,high
q_000082,d_000151,0.7,0.7,congressional earmarks should be abolished,appropriations committee,congressional earmarks,high
q_000083,d_000439,0.8,0.8,the keystone xl pipeline should be built,aquifer,keystone xl pipeline,high
q_000084,d_000038,1.0,1.0,atheism is the only way,argument,argument from nonbelief,high
q_000084,d_000832,0.7,0.7,atheism is the only way,argument,theological noncognitivism,high
q_000086,d_000046,0.9,0.9,atheism is the only way,argument from nonbelief,atheism,high
q_000087,d_000533,1.0,1.0,national service should be reintroduced,army,national service,high
q_000088,d_000018,0.8,0.8,the american jobs act should be passed,arra,american jobs act,high
q_000092,d_000095,0.8,0.8,open primaries are the most effective method of selecting candidates for elections,arrow's impossibility theorem,candidates,high
q_000092,d_000258,1.0,1.0,open primaries are the most effective method of selecting candidates for elections,arrow's impossibility theorem,elections,high
q_000094,d_000066,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,artificial birth control,barrier methods of contraception,high
q_000094,d_000161,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,artificial birth control,contraceptives,high
q_000094,d_000747,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,artificial birth control,sexuality education,high
q_000095,d_000066,1.0,1.0,the catholic church is justified in forbidding the use of barrier methods of contraception,artificial contraception,barrier methods of contraception,high
q_000097,d_000314,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,fetuses,high
q_000097,d_000595,0.9,0.9,parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,parents,high
q_000098,d_000714,1.0,1.0,the right to asylum should not be absolute,asylum,right to asylum,high
q_000099,d_000714,1.0,1.0,the right to asylum should not be absolute,asylum applications,right to asylum,high
q_000100,d_000714,1.0,1.0,the right to asylum should not be absolute,asylum claims,right to asylum,high
q_000101,d_000360,1.0,1.0,the right to asylum should not be absolute,asylum seekers,granted asylum,high
q_000101,d_000398,1.0,1.0,the right to asylum should not be absolute,asylum seekers,illegal entrant,high
q_000101,d_000714,1.0,1.0,the right to asylum should not be absolute,asylum seekers,right to asylum,high
q_000102,d_000439,0.9,0.9,the keystone xl pipeline should be built,athabasca oil sands,keystone xl pipeline,high
q_000103,d_000046,1.0,1.0,atheism is the only way,atheism,atheism,high
q_000103,d_000176,0.7,0.7,atheism is the only way,atheism,creator god,high
q_000103,d_000587,1.0,1.0,atheism is the only way,atheism,opposition to god,high
q_000104,d_000000,1.0,1.0,atheism is the only way,atheist,absence of belief,high
q_000104,d_000046,1.0,1.0,atheism is the only way,atheist,atheism,high
q_000104,d_000202,0.9,0.9,atheism is the only way,atheist,deities exist,high
