doc_id,doc_text
d_000000,absence of belief
d_000001,absentee
d_000002,absentee ballots
d_000003,absolute monarchy
d_000004,abstinence only education
d_000005,abuse potential
d_000006,action games
d_000007,activities
d_000008,advertising and promotion
d_000009,affirmative action
d_000010,afghan
d_000011,afghan war
d_000012,ageing results
d_000013,ageist
d_000014,alberta government
d_000015,alternative vote
d_000016,amartya sen
d_000017,american football
d_000018,american jobs act
d_000019,american labor
d_000020,american tobacco
d_000021,amniocentesis
d_000022,amundsen
d_000023,anat kamm
d_000024,androgen
d_000025,androgenic steroids
d_000026,androgenic:anabolic ratio
d_000027,anglo saxon system
d_000028,antarctic continent
d_000029,anthropocentric
d_000030,anthropocentrism
d_000031,anti ballistic missile
d_000032,anti smoking movement
d_000033,antiviral drugs
d_000034,api
d_000035,apple pie
d_000036,applicants
d_000037,apprenticeship
d_000038,argument from nonbelief
d_000039,arra
d_000040,arrested
d_000041,arrival
d_000042,arriving
d_000043,arrow's impossibility theorem
d_000044,artificial contraception
d_000045,asylum applications
d_000046,atheism
d_000047,athlete
d_000048,atlantic city
d_000049,atomic energy
d_000050,attainment
d_000051,attorney jack thompson
d_000052,august
d_000053,austerity measures
d_000054,australia
d_000055,australian republican movement
d_000056,australian unemployment rate
d_000057,automatic ballot access
d_000058,ballot paper
d_000059,ballot stuffing
d_000060,bank accounts
d_000061,banned
d_000062,banned in australia
d_000063,bare knuckle
d_000064,bargaining
d_000065,barrier methods
d_000066,barrier methods of contraception
d_000067,bars and restaurants
d_000068,bet
d_000069,bi partisan appointment
d_000070,bias
d_000071,biases
d_000072,bill
d_000073,billion to subsidize
d_000074,birth control
d_000075,bituminous sands
d_000076,block
d_000077,boat
d_000078,body
d_000079,bombs
d_000080,border control
d_000081,bout
d_000082,boxing
d_000083,brandenburg v ohio
d_000084,break lasts
d_000085,breaks
d_000086,bribery
d_000087,british nationality act
d_000088,budget
d_000089,budget deficit
d_000090,business
d_000091,calendar based methods
d_000092,canada
d_000093,canadian human rights
d_000094,candidate is eliminated
d_000095,candidates
d_000096,capabilities approach
d_000097,capacity credit
d_000098,capitalism
d_000099,capitol hill
d_000100,card
d_000101,cardinal
d_000102,case
d_000103,casework
d_000104,catholic church
d_000105,cd
d_000106,cell
d_000107,cellphones
d_000108,censor
d_000109,censored
d_000110,central intelligence agency
d_000111,chabot
d_000112,chair
d_000113,chance
d_000114,character
d_000115,charter school law
d_000116,child maltreatment
d_000117,childcare voucher scheme
d_000118,children
d_000119,children per woman
d_000120,china
d_000121,china and india
d_000122,chinese authorities
d_000123,chrc
d_000124,christmas holiday
d_000125,chromosomes
d_000126,church's
d_000127,cigar smokers
d_000128,cigar smoking
d_000129,citizens
d_000130,city of redlands
d_000131,civil
d_000132,civil service
d_000133,classification
d_000134,classification board
d_000135,classified
d_000136,classroom
d_000137,coarse language
d_000138,code
d_000139,cognatic primogeniture
d_000140,collective bargaining rights
d_000141,college or university
d_000142,columbine high school
d_000143,committee
d_000144,committee for refugees
d_000145,companies
d_000146,compressor stations
d_000147,computer information
d_000148,condorcet methods
d_000149,condorcet winner
d_000150,confidence interval
d_000151,congressional earmarks
d_000152,conscientious objection
d_000153,conscript
d_000154,consoles
d_000155,construction
d_000156,consumption
d_000157,contact between players
d_000158,content
d_000159,content rating
d_000160,contests the existence
d_000161,contraceptives
d_000162,contractions
d_000163,convention
d_000164,conventions
d_000165,copyright system
d_000166,coral reefs
d_000167,corporate
d_000168,cortex
d_000169,counted
d_000170,counter
d_000171,counter punch
d_000172,countries of origin
d_000173,court of appeals
d_000174,crackdown
d_000175,craft union
d_000176,creator god
d_000177,criminal casework team
d_000178,criminalize
d_000179,criterion
d_000180,criticism of religion
d_000181,critics of religion
d_000182,csr policy
d_000183,cultural revolution
d_000184,cushing oklahoma
d_000185,cyber dissident
d_000186,cycling
d_000187,damage
d_000188,daniel dennett
d_000189,daniel domscheit berg
d_000190,day
d_000191,debt swap
d_000192,debts
d_000193,decent work
d_000194,deep ecologists
d_000195,defamation laws
d_000196,defamatory
d_000197,defending state
d_000198,defending states
d_000199,defense appropriations subcommittee
d_000200,defensive style
d_000201,deferments
d_000202,deities exist
d_000203,delegates
d_000204,deliberation
d_000205,dementia pugilistica
d_000206,democracy
d_000207,democratic governments
d_000208,democratic national committee
d_000209,democratic party
d_000210,democratic process
d_000211,demographic
d_000212,der spiegel
d_000213,desalination
d_000214,deterrence
d_000215,developing nuclear weapons
d_000216,differences
d_000217,disclosure
d_000218,discourse of race
d_000219,discretionary spending
d_000220,discrimination against women
d_000221,discrimination in employment
d_000222,disease
d_000223,diseases
d_000224,disenfranchise
d_000225,disenfranchised
d_000226,disorders
d_000227,displaced people
d_000228,divine
d_000229,dna
d_000230,donor eggs
d_000231,dprk
d_000232,draft dodgers
d_000233,draft law
d_000234,draft registration
d_000235,draftees
d_000236,dsm iv tr
d_000237,duchess of cornwall
d_000238,duke of york
d_000239,early
d_000240,earmark
d_000241,earth
d_000242,east
d_000243,easter holidays
d_000244,ecologists
d_000245,ecology
d_000246,economic
d_000247,economic policy institute
d_000248,economic success
d_000249,economy
d_000250,education
d_000251,educational
d_000252,edward viii
d_000253,effects
d_000254,egg
d_000255,elected
d_000256,election campaigns
d_000257,election results
d_000258,elections
d_000259,elective monarchies
d_000260,elective monarchy
d_000261,electoral
d_000262,electrical
d_000263,electricity generation
d_000264,electricity production
d_000265,eligible
d_000266,ellsberg and russo
d_000267,emotion
d_000268,employers and workers
d_000269,employment
d_000270,employment opportunity commission
d_000271,end
d_000272,end of october
d_000273,endangered species
d_000274,ends
d_000275,enemy at war
d_000276,energy
d_000277,energy supply
d_000278,enriched uranium
d_000279,ericsson method
d_000280,esping andersen
d_000281,eta
d_000282,ethnic minorities
d_000283,ethnicity
d_000284,eugenic
d_000285,eugenics
d_000286,europe
d_000287,european monarchies
d_000288,evil exists
d_000289,executive branch
d_000290,exempt
d_000291,exhaustive ballot
d_000292,exist
d_000293,existence and nature
d_000294,exploitation
d_000295,explorer
d_000296,explosion
d_000297,extended arm
d_000298,extinction event
d_000299,extortion
d_000300,extraction
d_000301,fair dealing
d_000302,false claims act
d_000303,family
d_000304,family planning programs
d_000305,family planning services
d_000306,farm
d_000307,fat man
d_000308,federal
d_000309,federal elections
d_000310,federal government
d_000311,federal reserve
d_000312,female
d_000313,fertility rate
d_000314,fetuses
d_000315,fiscal
d_000316,fission chain reaction
d_000317,fist
d_000318,foreign national
d_000319,foreign nationals
d_000320,formal statistical evidence
d_000321,forms of violence
d_000322,fossil
d_000323,free speech fights
d_000324,free to choose
d_000325,free will argument
d_000326,freedom of speech
d_000327,friedman
d_000328,fusion fuel
d_000329,future generations
d_000330,gam anon
d_000331,gambling
d_000332,gambling industry
d_000333,game content rating
d_000334,gameplay
d_000335,gas chambers
d_000336,gender
d_000337,gender imbalance
d_000338,gene therapy
d_000339,general election
d_000340,generating
d_000341,genetic screening
d_000342,george w bush
d_000343,germany
d_000344,global network initiative
d_000345,gmail
d_000346,gmail accounts
d_000347,god's
d_000348,goidel
d_000349,gompers
d_000350,good faith
d_000351,google
d_000352,google search
d_000353,gove
d_000354,government
d_000355,government deficit
d_000356,government jobs
d_000357,governor
d_000358,governor of alaska
d_000359,grace of god
d_000360,granted asylum
d_000361,grants in aid
d_000362,great depression
d_000363,great firewall
d_000364,great recession
d_000365,growing of tobacco
d_000366,growth
d_000367,grutter v bollinger
d_000368,grytviken
d_000369,haaretz
d_000370,habitat loss
d_000371,half term
d_000372,hall of fame
d_000373,hand
d_000374,harsh austerity
d_000375,health care
d_000376,heavy water
d_000377,hereditary monarchy
d_000378,heritable diseases
d_000379,higher education
d_000380,higher wages
d_000381,hiring
d_000382,hiv and aids
d_000383,holy roman empire
d_000384,home
d_000385,home affairs
d_000386,hong kong
d_000387,hormone
d_000388,hormones
d_000389,house arrest
d_000390,houses of congress
d_000391,housewives
d_000392,human
d_000393,human genome
d_000394,human knowledge
d_000395,human rights abuses
d_000396,human rights held
d_000397,identification
d_000398,illegal entrant
d_000399,imminent lawless action
d_000400,income tax
d_000401,income tax revenues
d_000402,indiana
d_000403,individual income tax
d_000404,industrial organizations
d_000405,industry
d_000406,infections
d_000407,influence the result
d_000408,infringement
d_000409,innovation
d_000410,insects
d_000411,installed capacity
d_000412,instructor
d_000413,intellectual property rights
d_000414,intelligence service
d_000415,intercourse
d_000416,intermittency
d_000417,international
d_000418,international labour office
d_000419,international law
d_000420,international levels
d_000421,international planned parenthood
d_000422,international refugee organization
d_000423,internet security
d_000424,invasive procedure
d_000425,invasive species
d_000426,invasive test
d_000427,invasive testing
d_000428,iran's nuclear program
d_000429,island
d_000430,jim crow
d_000431,jobs
d_000432,john l sullivan
d_000433,john locke
d_000434,joined the npt
d_000435,july and august
d_000436,jurisdictions
d_000437,kachin state
d_000438,kenji nagai
d_000439,keystone xl pipeline
d_000440,keywords
d_000441,kilotons of tnt
d_000442,kilowatt hour
d_000443,king is dead
d_000444,kleptocracy
d_000445,knocked
d_000446,knockout
d_000447,knowledge
d_000448,kosher slaughter
d_000449,kutner and olson
d_000450,labor day
d_000451,labour market
d_000452,labour relations
d_000453,lan na
d_000454,largest wind farm
d_000455,late july
d_000456,law convention
d_000457,league
d_000458,league of nations
d_000459,leak
d_000460,leaking
d_000461,leave
d_000462,left ventricle
d_000463,legal assistance
d_000464,level playing field
d_000465,lever
d_000466,libertarian extension
d_000467,license
d_000468,life imprisonment
d_000469,light cigarettes
d_000470,liquid pipelines
d_000471,loan
d_000472,local public schools
d_000473,local school district
d_000474,lotto
d_000475,low wages
d_000476,macau
d_000477,mainland chinese
d_000478,majority of canadians
d_000479,majority opinion
d_000480,mamluks
d_000481,mandatory retirement age
d_000482,marlboro
d_000483,maternal
d_000484,maternal serum
d_000485,math
d_000486,mccain's
d_000487,mcmurdo
d_000488,measures of aggression
d_000489,mechanism
d_000490,median household income
d_000491,medicare
d_000492,members
d_000493,membership
d_000494,memory issues
d_000495,memory loss
d_000496,men
d_000497,men and women
d_000498,merit
d_000499,meritocratic
d_000500,mexican american
d_000501,mid september
d_000502,military
d_000503,military conscription
d_000504,military documents
d_000505,military training
d_000506,mineral
d_000507,minors
d_000508,misrepair
d_000509,missile
d_000510,mitchell report
d_000511,mlb
d_000512,modern patent
d_000513,modern symbolic prejudice
d_000514,monarch's
d_000515,monarchy
d_000516,monetary
d_000517,money
d_000518,money laundering
d_000519,monopolies
d_000520,mortgage
d_000521,motion involves lifting
d_000522,motor units
d_000523,mountains
d_000524,muay thai
d_000525,muscle fibers
d_000526,myanmar
d_000527,nation of islam
d_000528,national development party
d_000529,national grid
d_000530,national intelligence estimate
d_000531,national parks
d_000532,national renewable energy
d_000533,national service
d_000534,national wealth
d_000535,nationality
d_000536,nations
d_000537,native
d_000538,natural history
d_000539,nelson
d_000540,neoclassical economic
d_000541,nfp
d_000542,nicotinic acetylcholine receptors
d_000543,nintendo
d_000544,nomination
d_000545,north
d_000546,north korea's
d_000547,north korean
d_000548,north korean nuclear
d_000549,nuclear arms race
d_000550,nuclear bomb
d_000551,nuclear explosion
d_000552,nuclear explosive devices
d_000553,nuclear material
d_000554,nuclear powers
d_000555,nuclear suppliers group
d_000556,nuclear test
d_000557,nuclear testing
d_000558,nuclear tests
d_000559,nuclear weapon design
d_000560,nuclear weapons
d_000561,nuclear weapons tests
d_000562,number of delegates
d_000563,number of rounds
d_000564,number of seats
d_000565,number of students
d_000566,number of voters
d_000567,oath of allegiance
d_000568,observers
d_000569,odds
d_000570,official secrets act
d_000571,official unemployment rate
d_000572,ogallala
d_000573,oil based lubricants
d_000574,older patients
d_000575,olympic champion
d_000576,omnipotent
d_000577,one child policy
d_000578,online
d_000579,online casinos
d_000580,online games
d_000581,online lotteries
d_000582,open primaries
d_000583,operations and maintenance
d_000584,opinion poll
d_000585,opinion polls
d_000586,opinions
d_000587,opposition to god
d_000588,organisations include
d_000589,organization
d_000590,organize
d_000591,outer space
d_000592,output
d_000593,paid
d_000594,paid work
d_000595,parents
d_000596,paris convention
d_000597,parliamentary republic
d_000598,parties
d_000599,party
d_000600,party talks
d_000601,passport
d_000602,patent laws
d_000603,patent rights
d_000604,patronage
d_000605,paul vi
d_000606,payment processors
d_000607,payments
d_000608,penalty for treason
d_000609,pension scheme
d_000610,pension schemes
d_000611,people
d_000612,performance enhancing drugs
d_000613,performed
d_000614,periodic abstinence
d_000615,pesticides
d_000616,phase
d_000617,phone calls
d_000618,photo identification
d_000619,pipe
d_000620,pius xii
d_000621,plan
d_000622,planned parenthood federation
d_000623,plant
d_000624,plants
d_000625,playing video games
d_000626,policy of deterrence
d_000627,politically incorrect
d_000628,polling station
d_000629,pollster
d_000630,pontifical council
d_000631,population density
d_000632,pornography
d_000633,ports of entry
d_000634,possess nuclear weapons
d_000635,power stations
d_000636,powers
d_000637,prenatal testing
d_000638,prerogative
d_000639,prescription
d_000640,president ronald reagan
d_000641,presidential election
d_000642,presymptomatic testing
d_000643,primary school
d_000644,prime mover
d_000645,private
d_000646,private education
d_000647,private gain
d_000648,private holders
d_000649,private sector
d_000650,prize
d_000651,problem
d_000652,production
d_000653,professional boxing
d_000654,professional sports
d_000655,projects
d_000656,proliferation
d_000657,property systems
d_000658,proportional
d_000659,proportional representation
d_000660,prosecutions for treason
d_000661,protect the body
d_000662,protect the head
d_000663,provisional
d_000664,public education
d_000665,public housing
d_000666,public places
d_000667,public property
d_000668,public school students
d_000669,pubs and clubs
d_000670,punished with imprisonment
d_000671,quarter
d_000672,queen elizabeth
d_000673,queen's
d_000674,race creed color
d_000675,races
d_000676,racial differences
d_000677,racial groups
d_000678,racial prejudice
d_000679,random testing
d_000680,rangel center
d_000681,rank and file
d_000682,rapid population growth
d_000683,rates of smoking
d_000684,rating board
d_000685,rating board esrb
d_000686,ratio
d_000687,reactor
d_000688,reactors
d_000689,reading and math
d_000690,reasonable restrictions
d_000691,receptor
d_000692,recession
d_000693,redress of grievances
d_000694,reduce future deficits
d_000695,refugee camps
d_000696,refused classification
d_000697,regime
d_000698,reign
d_000699,renewable electricity
d_000700,renewable energy production
d_000701,renewable energy technologies
d_000702,renewables
d_000703,rent stabilized
d_000704,republican
d_000705,republican party
d_000706,republican primary
d_000707,research article
d_000708,research stations
d_000709,reserve powers
d_000710,resettlement
d_000711,returning to school
d_000712,rich
d_000713,richard dawkins foundation
d_000714,right to asylum
d_000715,rights
d_000716,rights of man
d_000717,robert mã©nard
d_000718,roman catholic church
d_000719,ross
d_000720,round of counting
d_000721,route
d_000722,running mate
d_000723,rural
d_000724,safe harbor
d_000725,sales
d_000726,sampling error
d_000727,san bernardino
d_000728,savings
d_000729,scarce
d_000730,schedule iii
d_000731,school activities
d_000732,school board
d_000733,school leaving age
d_000734,school system
d_000735,school vouchers
d_000736,science
d_000737,screening test
d_000738,search results
d_000739,seats
d_000740,security council
d_000741,senators and representatives
d_000742,september
d_000743,settings
d_000744,sex discrimination
d_000745,sexual revolution
d_000746,sexual violence
d_000747,sexuality education
d_000748,sexually
d_000749,sexually explicit
d_000750,sexually transmitted disease
d_000751,sexually transmitted infection
d_000752,shan state
d_000753,shan states
d_000754,shoulder lean
d_000755,shouting fire
d_000756,shwedagon pagoda
d_000757,signed the npt
d_000758,silencing
d_000759,single track
d_000760,single winner
d_000761,skilled
d_000762,skilled and unskilled
d_000763,skilled workers
d_000764,slander
d_000765,slander and libel
d_000766,slot machines
d_000767,smoke free workplaces
d_000768,smokeless tobacco
d_000769,smoking among women
d_000770,smoking rates
d_000771,smoking restrictions
d_000772,snuff
d_000773,social housing
d_000774,social support
d_000775,southeast asia
d_000776,southern district
d_000777,sovereign debt
d_000778,sovereign default
d_000779,special administrative regions
d_000780,species extinctions
d_000781,species loss
d_000782,speech
d_000783,spending
d_000784,sponsorship
d_000785,spread of hiv
d_000786,spy
d_000787,st peter's
d_000788,starts
d_000789,state of alaska
d_000790,state schools
d_000791,states
d_000792,status
d_000793,stds
d_000794,steam
d_000795,steam injection
d_000796,stereotypes
d_000797,sterilized
d_000798,steve chabot
d_000799,straight punch thrown
d_000800,strategy games
d_000801,studies
d_000802,subprime mortgage crisis
d_000803,subsidize
d_000804,subsidy
d_000805,substance dependence
d_000806,successful ageing
d_000807,super tuesday
d_000808,supernatural
d_000809,surface mining
d_000810,survey results
d_000811,sustainability
